id,title,description,link,image link,price,condition,availability,gtin,mpn,brand,google product category,product type,sale price,sale price effective date,item group id,gender,age group,shipping weight,shipping,,,,,,,,,,,,,,,,,,,,,
alcon004,Dailies Total1 90 pack,"Dailies Total 1 are the world’s first water gradient contact lenses, designed to specifically match the natural water content of your eyes. Made from Silicone Hydrogel, a material that allows up to three times more oxygen to the eye than traditional soft lenses, Dailies Total 1 contact lenses provide increased oxygen and water permeability, ensuring your eyes stay hydrated, and your vision stays clear and comfortable for longer.",https://lenssaver.co.uk/dailies-total-1-90.html,https://lenssaver.co.uk/pub/media/catalog/product/cache/12/image/536x337/e9c3970ab036de70892d86c6d221abfe/d/a/dailies-total-1-90-pack.jpg,GBP 52.75,new,in stock,630175507983,LS654987211,Alcon,<g:google_product_category>2923</g:google_product_category>,Health & Beauty > Personal Care > Vision Care > Contact Lenses,,,,UNISEX,Adult,60 grams,UK::Standard:2.95 GBP,,,,,,,,,,,,,,,,,,,,,
alcon005,Freshlook Colorblends,"Freshlook Colorblends use a three-in-one revolutionary technology to blend seamlessly with your eyes natural color, creating a subtle but powerful look. Looking for exotic shades? Try Gemstone Green or Brilliant Blue. Want a less dramatic enhancement? Grey or Amethyst is perfect for you.",https://lenssaver.co.uk/freshlook-colorblends.html,https://lenssaver.co.uk/pub/media/catalog/product/cache/12/image/536x337/e9c3970ab036de70892d86c6d221abfe/f/r/freshlook-colorblends-contact-lenses.jpg,GBP 12,new,in stock,730821602540,LS654987212,Alcon,<g:google_product_category>2923</g:google_product_category>,Health & Beauty > Personal Care > Vision Care > Contact Lenses,,,,UNISEX,Adult,60 grams,UK::Standard:2.95 GBP,,,,,,,,,,,,,,,,,,,,,
alcon006,Freshlook Illuminate,"Freshlook Illuminate lenses give your eyes a bold and distinctive look, without compromising on comfort. Innovative dual-layer printing technology darkens and enlarges your iris to match the warm, natural shades of darker colored eyes. The subtle tones of the lens blend with your iris color to create a natural look that can be worn every day of the week.",https://lenssaver.co.uk/freshlook-illuminate.html,https://lenssaver.co.uk/pub/media/catalog/product/cache/12/image/536x337/e9c3970ab036de70892d86c6d221abfe/f/r/freshlook-illuminate-contact-lenses.jpg,GBP 10,new,in stock,730821602540,LS654987213,Alcon,<g:google_product_category>2923</g:google_product_category>,Health & Beauty > Personal Care > Vision Care > Contact Lenses,,,,UNISEX,Adult,60 grams,UK::Standard:2.95 GBP,,,,,,,,,,,,,,,,,,,,,
alcon007,Air Optix Aqua 3 pack,Lens saver is pleased to be able to provide packs of 3 high-quality Air Optix Aqua contact lenses sourced directly from CIBA Vision / Alcon. Air Optix Aqua contact lenses are manufactured from the silicone hydrogel and are a monthly lens which requires removal and cleaning at night.,https://lenssaver.co.uk/air-optix-aqua-contact-lenses.html,https://lenssaver.co.uk/pub/media/catalog/product/cache/12/image/536x337/e9c3970ab036de70892d86c6d221abfe/a/i/air-optix-aqua_7.jpg,GBP 9.25,new,in stock,846566555253,LS654987214,Alcon,<g:google_product_category>2923</g:google_product_category>,Health & Beauty > Personal Care > Vision Care > Contact Lenses,,,,UNISEX,Adult,60 grams,UK::Standard:2.95 GBP,,,,,,,,,,,,,,,,,,,,,
alcon008,Air Optix for Astigmatism,"Air Optix for Astigmatism lenses offer a comfortable, convenient solution for contact wearers with astigmatism.",https://lenssaver.co.uk/air-optix-for-astigmatism-contact-lenses.html,https://lenssaver.co.uk/pub/media/catalog/product/cache/12/image/536x337/e9c3970ab036de70892d86c6d221abfe/a/i/air-optix-for-astigmatism_3.jpg,GBP 15.65,new,in stock,846566683840,LS654987215,Alcon,<g:google_product_category>2923</g:google_product_category>,Health & Beauty > Personal Care > Vision Care > Contact Lenses,,,,UNISEX,Adult,60 grams,UK::Standard:2.95 GBP,,,,,,,,,,,,,,,,,,,,,
alcon009,Air Optix plus HydraGlyde,"AIR OPTIX plus HydraGlyde contact lenses are made with a highly breathable material that allows nourishing oxygen to flow continuously through the lens for white, healthy-looking eyes.They are the first and only contact lenses to feature two advanced technologies, SmartShield Technology and HydraGlyde Moisture Matrix , to help provide excellent deposit protection and support long-lasting lens surface moisture.",https://lenssaver.co.uk/air-optix-plus-hydraglyde.html,https://lenssaver.co.uk/pub/media/catalog/product/cache/12/image/536x337/e9c3970ab036de70892d86c6d221abfe/a/i/air-optix-plus-hydraglyde-contact-lenses.jpg,GBP 18.75,new,in stock,846566555536,LS654987216,Alcon,<g:google_product_category>2923</g:google_product_category>,Health & Beauty > Personal Care > Vision Care > Contact Lenses,,,,UNISEX,Adult,60 grams,UK::Standard:2.95 GBP,,,,,,,,,,,,,,,,,,,,,
alcon010,Dailies AquaComfort plus toric 30,"ailies AquaComfort PLUS toric 30 contact lenses are designed to remain stable in the eye, to help wearers with astigmatism enjoy crisp and clear vision",https://lenssaver.co.uk/dailies-aquacomfort-plus-toric-30-pack.html,https://lenssaver.co.uk/pub/media/catalog/product/cache/12/image/536x337/e9c3970ab036de70892d86c6d221abfe/d/a/dailies-aqua-comfort-plus-toric-30-pack_2.jpg,GBP 17.95,new,in stock,630175554666,LS654987217,Alcon,<g:google_product_category>2923</g:google_product_category>,Health & Beauty > Personal Care > Vision Care > Contact Lenses,,,,UNISEX,Adult,60 grams,UK::Standard:2.95 GBP,,,,,,,,,,,,,,,,,,,,,
alcon011,Dailies Total 1 30 Pack,"Dailies Total 1 are the world’s first water gradient contact lenses, designed to specifically match the natural water content of your eyes. Made from Silicone Hydrogel, a material that allows up to three times more oxygen to the eye than traditional soft lenses, Dailies Total 1 contact lenses provide increased oxygen and water permeability, ensuring your eyes stay hydrated, and your vision stays clear and comfortable for longer.",https://lenssaver.co.uk/alcon-dailies-total-contact-lenses.html,https://lenssaver.co.uk/pub/media/catalog/product/cache/12/image/536x337/e9c3970ab036de70892d86c6d221abfe/d/a/dailies-total-1-30-pack.jpg,GBP 18.9,new,in stock,814832010058,LS654987218,Alcon,<g:google_product_category>2923</g:google_product_category>,Health & Beauty > Personal Care > Vision Care > Contact Lenses,,,,UNISEX,Adult,60 grams,UK::Standard:2.95 GBP,,,,,,,,,,,,,,,,,,,,,
alcon012,Dailies AquaComfort Plus Multifocal 30 Pack,"Dailies Aqua Comfort plus Toric contact lenses are designed to remain stable on the eye, to help wearers with astigmatism enjoy crisp and clear vision.",https://lenssaver.co.uk/alcon-dailies-aqua-comfort-contact-lenses.html,https://lenssaver.co.uk/pub/media/catalog/product/cache/12/image/536x337/e9c3970ab036de70892d86c6d221abfe/d/a/dailies-aqua-comfort-plus-30-pack.jpg,GBP 23.25,new,in stock,630175577566,LS654987219,Alcon,<g:google_product_category>2923</g:google_product_category>,Health & Beauty > Personal Care > Vision Care > Contact Lenses,,,,UNISEX,Adult,60 grams,UK::Standard:2.95 GBP,,,,,,,,,,,,,,,,,,,,,
alcon013,Focus Dailies all Day Comfort 30 pack,"Focus Dailies All Day Comfort are one of our top-selling daily contact lenses, designed to provide maximum comfort to your eyes, all day long",https://lenssaver.co.uk/focus-dailies-all-day-comfort-30-pack.html,https://lenssaver.co.uk/pub/media/catalog/product/cache/12/image/536x337/e9c3970ab036de70892d86c6d221abfe/f/o/focus-dailies-all-day-comfort-30-pack.jpg,GBP 10.9,new,in stock,630175476708,LS654987220,Alcon,<g:google_product_category>2923</g:google_product_category>,Health & Beauty > Personal Care > Vision Care > Contact Lenses,,,,UNISEX,Adult,60 grams,UK::Standard:2.95 GBP,,,,,,,,,,,,,,,,,,,,,
